query	gene_name	cluster	gene_set	Description	query_ORF
mps1-3796	MPS1	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Dual-specificity kinase; autophosphorylation required for function; required for spindle pole body (SPB) duplication and spindle checkpoint function; contributes to bi-orientation by promoting formation of force-generating kinetochore-microtubule attachments in meiosis I; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, kinetochore protein Cnn1p, and checkpoint protein Mad1p; substrate of APCC(Cdh1); similar to human Mps1p	YDL028C
mps1-417	MPS1	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Dual-specificity kinase; autophosphorylation required for function; required for spindle pole body (SPB) duplication and spindle checkpoint function; contributes to bi-orientation by promoting formation of force-generating kinetochore-microtubule attachments in meiosis I; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, kinetochore protein Cnn1p, and checkpoint protein Mad1p; substrate of APCC(Cdh1); similar to human Mps1p	YDL028C
nnf1-77	NNF1	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Essential component of the outer kinetochore MIND complex; joins kinetochore subunits contacting DNA to those contacting microtubules; required for kinetochore bi-orientation and accurate chromosome segregation; complex consists of Mtw1p, Nnf1p, Nsl1p and Dsn1p; homologous to metazoan CENP-H proteins	YJR112W
nsl1-6	NSL1	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; required for accurate chromosome segregation; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)	YPL233W
rad61	RAD61	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Subunit of a complex that inhibits sister chromatid cohesion; also negatively regulates chromosome condensation; inhibited by Eco1p-acetylated cohesin subunits Smc3p and Mcd1p; binds Smc3p ATPase head of cohesin; related to the human Wapl protein that controls the association of cohesin with chromatin	YDR014W
scc2-4	SCC2	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Subunit of cohesin loading factor (Scc2p-Scc4p); a complex required for loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during DSB repair via histone H2AX; promotes gene expression program that supports translational fidelity; evolutionarily-conserved adherin; relocalizes to cytosol in response to hypoxia; human disorder Cornelia de Lange syndrome is caused by mutations in NIPBL, the human ortholog of SCC2	YDR180W
scc4-4	SCC4	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Subunit of cohesin loading factor (Scc2p-Scc4p); complex is required for the loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during double-strand break repair via phosphorylated histone H2AX	YER147C
sli15-3	SLI15	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Subunit of the conserved chromosomal passenger complex (CPC); complex regulates kinetochore-microtubule attachments, activation of the spindle tension checkpoint, and mitotic spindle disassembly; other complex members are Ipl1p, Bir1p, and Nbl1p	YBR156C
smc1-2	SMC1	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure	YFL008W
smc1-259	SMC1	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure	YFL008W
smc3-1	SMC3	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member	YJL074C
smc3-42	SMC3	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member	YJL074C
spc105-15	SPC105	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Subunit of a kinetochore-microtubule binding complex; complex bridges centromeric heterochromatin and kinetochore MAPs and motors; required for sister chromatid bi-orientation and kinetochore binding of SAC components; complex also includes Kre28p; modified by sumoylation	YGL093W
spc105-4	SPC105	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Subunit of a kinetochore-microtubule binding complex; complex bridges centromeric heterochromatin and kinetochore MAPs and motors; required for sister chromatid bi-orientation and kinetochore binding of SAC components; complex also includes Kre28p; modified by sumoylation	YGL093W
spc19-5001	SPC19	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Essential subunit of the Dam1 complex (aka DASH complex); complex couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; also localized to nuclear side of spindle pole body	YDR201W
spc24-9	SPC24	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Component of the kinetochore-associated Ndc80 complex; involved in chromosome segregation, spindle checkpoint activity, and kinetochore clustering; evolutionarily conserved; other members include Ndc80p, Nuf2p, Spc24p, and Spc25p	YMR117C
tub4-y445d	TUB4	pos_with_GAP	kinetochore spindle actin tubulin mitotic exit	Gamma-tubulin; involved in nucleating microtubules from both the cytoplasmic and nuclear faces of the spindle pole body; protein abundance increases in response to DNA replication stress	YLR212C
act1-112	ACT1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions	YFL039C
act1-119	ACT1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions	YFL039C
act1-121	ACT1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions	YFL039C
act1-124	ACT1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions	YFL039C
act1-125	ACT1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions	YFL039C
act1-136	ACT1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions	YFL039C
act1-155	ACT1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions	YFL039C
act1-3	ACT1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions	YFL039C
arc15-10	ARC15	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; has mRNA binding activity	YIL062C
arc18	ARC18	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches	YLR370C
ase1	ASE1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Mitotic spindle midzone-localized microtubule bundling protein; microtubule-associated protein (MAP) family member; required for spindle elongation and stabilization; undergoes cell cycle-regulated degradation by anaphase promoting complex; potential Cdc28p substrate; relative distribution to microtubules decreases upon DNA replication stress	YOR058C
bfa1	BFA1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Subunit of a two-component GTPase-activating protein, Bfa1p-Bub2p; contributes to GAP activity, inactivating Tem1 by stimulating GTP hydrolysis following damage or misalignment of the mitotic spindle; functions as a guanine-nucleotide exchange inhibitor (GDI) for Tem1p; involved in multiple cell cycle checkpoint pathways that control mitotic exit; required when telomeres are damaged, but not for all types of chromosomal DNA damage; phosphorylated by the Polo-like kinase Cdc5p	YJR053W
bni1	BNI1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Formin; polarisome component; nucleates the formation of linear actin filaments, involved in cell processes such as budding and mitotic spindle orientation which require the formation of polarized actin cables; recruited to the division site in a Glc7p/Ref2p dependent manner following release of Bnr1p; functionally redundant with BNR1	YNL271C
boi2	BOI2	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Protein implicated in polar growth, functionally redundant with Boi1p; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain; BOI2 has a paralog, BOI1, that arose from the whole genome duplication	YER114C
bub2	BUB2	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Mitotic exit network regulator; forms GTPase-activating Bfa1p-Bub2p complex that binds Tem1p and spindle pole bodies, blocks cell cycle progression before anaphase in response to spindle and kinetochore damage	YMR055C
cap1	CAP1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Alpha subunit of the capping protein heterodimer (Cap1p and Cap2p); capping protein (CP) binds to the barbed ends of actin filaments preventing further polymerization; localized predominantly to cortical actin patches; protein increases in abundance and relocalizes from bud neck to plasma membrane upon DNA replication stress	YKL007W
cap2	CAP2	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Beta subunit of the capping protein heterodimer (Cap1p and Cap2p); capping protein (CP) binds to the barbed ends of actin filaments preventing further polymerization; localized predominantly to cortical actin patches; protein increases in abundance and relocalizes from bud neck to plasma membrane upon DNA replication stress	YIL034C
cbf1	CBF1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Basic helix-loop-helix (bHLH) protein; forms homodimer to bind E-box consensus sequence CACGTG present at MET gene promoters and centromere DNA element I (CDEI); affects nucleosome positioning at this motif; associates with other transcription factors such as Met4p and Isw1p to mediate transcriptional activation or repression; associates with kinetochore proteins, required for chromosome segregation; protein abundance increases in response to DNA replication stress	YJR060W
cct2-5001	CCT2	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Subunit beta of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo	YIL142W
ccz1	CCZ1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex, which stimulates nucleotide exchange and activation of Ypt7p, a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; involved in localizing Ypt7p to the vacuolar membrane; required for macroautophagy, the CVT pathway and mitophagy	YBR131W
cdc24-11	CDC24	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42	YAL041W
cdc24-1	CDC24	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42	YAL041W
cdc24-h	CDC24	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42	YAL041W
cdc53-1	CDC53	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Cullin; structural protein of SCF complexes (which also contain Skp1p, Cdc34p, Hrt1p and an F-box protein) involved in ubiquitination; SCF promotes the G1-S transition by targeting G1 cyclins and the Cln-CDK inhibitor Sic1p for degradation; human homolog CUL1 can complement yeast cdc53 null mutant	YDL132W
cin2	CIN2	mixed	kinetochore spindle actin tubulin mitotic exit	GTPase-activating protein (GAP) for Cin4p; tubulin folding factor C involved in beta-tubulin (Tub2p) folding; mutants display increased chromosome loss and benomyl sensitivity; human homolog RP2 complements yeast null mutant	YPL241C
cin4	CIN4	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	GTP-binding protein involved in beta-tubulin (Tub2p) folding; isolated as mutant with increased chromosome loss and sensitivity to benomyl; regulated by the GTPase-activating protein, Cin2p, the human retinitis pigmentosa 2 (RP2) homolog	YMR138W
clb4	CLB4	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2, then targeted for ubiquitin-mediated degradation; CLB4 has a paralog, CLB3, that arose from the whole genome duplication	YLR210W
cmd1-8	CMD1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Calmodulin; Ca2+ binding protein that regulates Ca2+ independent processes (mitosis, bud growth, actin organization, endocytosis, etc.) and Ca2+ dependent processes (stress-activated pathways), targets include Nuf1p, Myo2p and calcineurin; binds to the Hog1p MAPK in response to hyperosmotic stress; potentiates membrane tubulation and constriction mediated by the Rvs161p-Rvs167p complex; human CALM1 or CALM2 functionally complement repression induced inviability	YBR109C
cof1-8	COF1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Cofilin, involved in pH-dependent actin filament depolarization; binds both actin monomers and filaments and severs filaments; involved in the selective sorting, export of the secretory cargo from the late golgi; genetically interacts with pmr1; thought to be regulated by phosphorylation at SER4; ubiquitous and essential in eukaryotes	YLL050C
duo1-2	DUO1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Essential subunit of the Dam1 complex (aka DASH complex); cooperates with Dam1p to connect the DASH complex with microtubules (MT); couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis	YGL061C
irr1-1	IRR1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Subunit of the cohesin complex; which is required for sister chromatid cohesion during mitosis and meiosis and interacts with centromeres and chromosome arms; relocalizes to the cytosol in response to hypoxia; essential for viability	YIL026C
kar9	KAR9	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Spindle positioning factor; orients astral microtubules, connecting them to actin cables at the cortex with Bim1p and Myo2, resulting in proper spindle positioning; targeted for StuBL-dependent degradation at kinetochores by Slx5p-Slx8p, ensuring chromosome transmission fidelity and correct spindle positioning; role in karyogamy; localizes to the shmoo tip, the growing bud-tip, the nucleus, the kinetochore, the spindle and microtubules; homolog of adenomatous polyposis coli	YPL269W
kip3	KIP3	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Kinesin-related antiparallel sliding motor protein; involved in mitotic spindle positioning; sliding activity promotes bipolar spindle assembly and maintenance of genome stability; inhibits spindle elongation, destabilizing late anaphase spindle microtubules that polymerize beyond the midzone	YGL216W
lte1	LTE1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures	YAL024C
met30-9	MET30	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	F-box protein containing five copies of the WD40 motif; controls cell cycle function, sulfur metabolism, and methionine biosynthesis as part of the ubiquitin ligase complex; interacts with and regulates Met4p, localizes within the nucleus; dissociation of Met30p from SCF complex in response to cadmium stress is regulated by Cdc48p	YIL046W
mon1	MON1	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex which stimulates nucleotide exchange and activation of Ypt7p, a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; role in localizing Ypt7p to the vacuolar membrane; required for autophagy, the CVT pathway and mitophagy; potential Cdc28 substrate	YGL124C
rho3-1	RHO3	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Non-essential small GTPase of the Rho/Rac family of Ras-like proteins; involved in the establishment of cell polarity; GTPase activity positively regulated by the GTPase activating protein (GAP) Rgd1p	YIL118W
tub2-430	TUB2	pos_with_GEF	kinetochore spindle actin tubulin mitotic exit	Beta-tubulin; associates with alpha-tubulin (Tub1p and Tub3p) to form tubulin dimer, which polymerizes to form microtubules; mutation in human ortholog is associated with congenital fibrosis of the extraocular muscles (CFEOM) with polymicrogyria	YFL037W
bet5-5001	BET5	mixed	ER and Golgi transport	Core component of transport protein particle (TRAPP) complexes I-III; TRAPP complexes are related multimeric guanine nucleotide-exchange factors for the GTPase Ypt1p, regulating ER-Golgi traffic (TRAPPI), intra-Golgi traffic (TRAPPII), endosome-Golgi traffic (TRAPPII and III) and autophagy (TRAPPIII); human homology TRAPPC1 complements yeast null mutant	YML077W
bre5	BRE5	pos_with_GAP	ER and Golgi transport	Ubiquitin protease cofactor; forms deubiquitination complex with Ubp3p that coregulates anterograde and retrograde transport between the endoplasmic reticulum and Golgi compartments; null is sensitive to brefeldin A	YNR051C
cog2-1	COG2	mixed	ER and Golgi transport	Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments; the components of the Golgi complex are Gog1p through Cog8p	YGR120C
gda1	GDA1	mixed	ER and Golgi transport	Guanosine diphosphatase located in the Golgi; involved in the transport of GDP-mannose into the Golgi lumen, converting GDP to GMP after mannose is transferred to substrates; null mutants are defective in sporulation and pre-meiotic S phase entry; orthologous to human ENTPD6, a meiosis-associated non-obstructive azoospermia (NOA) related gene identified in GWAS studies	YEL042W
get2	GET2	mixed	ER and Golgi transport	Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for meiotic nuclear division	YER083C
rgp1	RGP1	mixed	ER and Golgi transport	Subunit of a Golgi membrane exchange factor (Ric1p-Rgp1p); this complex catalyzes nucleotide exchange on Ypt6p	YDR137W
scs2	SCS2	mixed	ER and Golgi transport 	Integral ER membrane protein, regulates phospholipid metabolism; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to plasma membrane (PM) and regulate PI4P levels by controlling access of Sac1p phosphatase to substrate PI4P in the PM; interacts with FFAT motifs in Opi1p, Swh1p, Osh2p, and Osh3p; involved in telomeric silencing; VAP homolog; SCS2 has a paralog, SCS22, that arose from the whole genome duplication	YER120W
sec66	SEC66	mixed	ER and Golgi transport 	Non-essential subunit of Sec63 complex; with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER; other members are Sec63p, Sec62p, and Sec72p	YBR171W
yjl049w	CHM7	pos_with_all	ER and Golgi transport 	Yeast homolog of human CHMP7, localizes to the endoplasmic reticulum presumably as part of an ESCRT-III like complex; null mutant has growth defect at 37 C in an apq12 deletion background; non-essential gene	YJL049W
bet2-1	BET2	pos_with_GAP	ER and Golgi transport 	Beta subunit of Type II geranylgeranyltransferase; required for vesicular transport between the endoplasmic reticulum and the Golgi; provides a membrane attachment moiety to Rab-like proteins Ypt1p and Sec4p; human homolog RABGGTB can complement yeast BET2 mutant	YPR176C
bts1	BTS1	pos_with_GAP	ER and Golgi transport 	Geranylgeranyl diphosphate synthase (GGPS); increases the intracellular pool of geranylgeranyl diphosphate, suppressor of bet2 mutation that causes defective geranylgeranylation of small GTP-binding proteins that mediate vesicular traffic	YPL069C
cog3-1	COG3	pos_with_GAP	ER and Golgi transport 	Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments	YER157W
cop1-1	COP1	pos_with_GAP	ER and Golgi transport 	Alpha subunit of COPI vesicle coatomer complex; complex surrounds transport vesicles in the early secretory pathway	YDL145C
did4	DID4	pos_with_GAP	ER and Golgi transport 	Class E Vps protein of the ESCRT-III complex; required for sorting of integral membrane proteins into lumenal vesicles of multivesicular bodies, and for delivery of newly synthesized vacuolar enzymes to the vacuole, involved in endocytosis	YKL002W
gyp1	GYP1	pos_with_GAP	ER and Golgi transport 	Cis-golgi GTPase-activating protein (GAP) for yeast Rabs; the Rab family members are Ypt1p (in vivo) and for Ypt1p, Sec4p, Ypt7p, and Ypt51p (in vitro); involved in vesicle docking and fusion	YOR070C
imh1	IMH1	pos_with_GAP	ER and Golgi transport 	Protein involved in vesicular transport; mediates transport between an endosomal compartment and the Golgi, contains a Golgi-localization (GRIP) domain that interacts with activated Arl1p-GTP to localize Imh1p to the Golgi	YLR309C
ret2-1	RET2	pos_with_GAP	ER and Golgi transport 	Delta subunit of the coatomer complex (COPI); COPI coats Golgi-derived transport vesicles; involved in retrograde transport between Golgi and ER	YFR051C
sec17-1	SEC17	pos_with_GAP	ER and Golgi transport 	Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP	YBL050W
sec18-1	SEC18	pos_with_GAP	ER and Golgi transport 	AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)	YBR080C
sec20-1	SEC20	pos_with_GAP	ER and Golgi transport 	Membrane glycoprotein v-SNARE; involved in retrograde transport from the Golgi to the endoplasmic reticulum (ER); required for N- and O-glycosylation in the Golgi but not in the ER and for efficient nuclear fusion during mating; mediates Sey1p-independent homotypic ER fusion; interacts with the Dsl1p complex through Tip20p	YDR498C
sec22-1	SEC22	pos_with_GAP	ER and Golgi transport 	R-SNARE protein; assembles into SNARE complex with Bet1p, Bos1p and Sed5p; cycles between the ER and Golgi complex; involved in anterograde and retrograde transport between the ER and Golgi; synaptobrevin homolog	YLR268W
sec22-3	SEC22	mixed	ER and Golgi transport	R-SNARE protein; assembles into SNARE complex with Bet1p, Bos1p and Sed5p; cycles between the ER and Golgi complex; involved in anterograde and retrograde transport between the ER and Golgi; synaptobrevin homolog	YLR268W
sec23-1	SEC23	mixed	ER and Golgi transport	GTPase-activating protein, stimulates the GTPase activity of Sar1p; component of the Sec23p-Sec24p heterodimer of the COPII vesicle coat, involved in ER to Golgi transport; substrate of Ubp3/Bre5 complex; ubiquitylated by Ub-ligase Rsp5p; proteasome-mediated degradation of Sec23p is regulated by Cdc48p	YPR181C
sec28	SEC28	mixed	ER and Golgi transport	Epsilon-COP subunit of the coatomer; regulates retrograde Golgi-to-ER protein traffic; stabilizes Cop1p, the alpha-COP and the coatomer complex; non-essential for cell growth; protein abundance increases in response to DNA replication stress	YIL076W
sec39-5001	SEC39	pos_with_GEF	ER and Golgi transport	Component of the Dsl1p tethering complex; this complex interacts with ER SNAREs Sec20p and Use1p; mediates Sey1p-independent homotypic ER fusion; proposed to be involved in protein secretion; localizes to the ER and nuclear envelope	YLR440C
sly1-ts	SLY1	mixed	ER and Golgi transport	Hydrophilic protein involved in ER/Golgi vesicle trafficking; SM (Sec1/Munc-18) family protein that binds the tSNARE Sed5p and stimulates its assembly into a trans-SNARE membrane-protein complex	YDR189W
yip1-4	YIP1	pos_with_GAP	ER and Golgi transport 	Integral membrane protein; required for the biogenesis of ER-derived COPII transport vesicles; interacts with Yif1p and Yos1p; localizes to the Golgi, the ER, and COPII vesicles; human homolog YIPF5 can complement yeast yip1 mutant	YGR172C
ykt6-5001	YKT6	pos_with_GAP	ER and Golgi transport 	Vesicle membrane protein (v-SNARE) with acyltransferase activity; involved in trafficking to and within the Golgi, endocytic trafficking to the vacuole, and vacuolar fusion; membrane localization due to prenylation at the carboxy-terminus; human homolog YKT6 can complement yeast ykt6 mutant	YKL196C
ypt1-3	YPT1	pos_with_GAP	ER and Golgi transport 	Rab family GTPase; involved in the ER-to-Golgi step of the secretory pathway; complex formation with the Rab escort protein Mrs6p is required for prenylation of Ypt1p by type II protein geranylgeranyltransferase (Bet2p-Bet4p); binds to unspliced HAC1 mRNA; regulates the unfolded protein response (UPR) by promoting the decay of HAC1 RNA; localizes to the early Golgi, the transitional Golgi and ER membranes, pre-autophagosomal structures, and cytoplasmic vesicles	YFL038C
avt7	AVT7	pos_with_GEF	ER and Golgi transport 	Putative transporter; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters	YIL088C
cdc43-2	CDC43	pos_with_GEF	ER and Golgi transport 	Beta subunit of geranylgeranyltransferase type I; subunit of the Ram2p-Cdc43p heterodimer that catalyzes the geranylgeranylation of the cysteine residue in proteins containing a C-terminal CaaX sequence ending in Leu or Phe; has substrates important for morphogenesis	YGL155W
frq1-1	FRQ1	pos_with_GEF	ER and Golgi transport 	N-myristoylated calcium-binding protein; may have a role in intracellular signaling through its regulation of the phosphatidylinositol 4-kinase Pik1p; member of the recoverin/frequenin branch of the EF-hand superfamily; human NCS1 functionally complements the heat sensitivity of a frq1 ts mutant	YDR373W
ice2	ICE2	pos_with_GEF	ER and Golgi transport 	Integral ER membrane protein with type-III transmembrane domains; required for maintenance of ER zinc homeostasis; necessary for efficient targeting of Trm1p tRNA methyltransferase to inner nuclear membrane; mutations cause defects in cortical ER morphology in both the mother and daughter cells	YIL090W
mon1	MON1	pos_with_GEF	ER and Golgi transport 	Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex which stimulates nucleotide exchange and activation of Ypt7p, a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; role in localizing Ypt7p to the vacuolar membrane; required for autophagy, the CVT pathway and mitophagy; potential Cdc28 substrate	YGL124C
trs20-5001	TRS20	mixed	ER and Golgi transport	Core component of transport protein particle (TRAPP) complexes I-III; TRAPPs are multimeric guanine nucleotide-exchange factors for GTPase Ypt1p, regulating ER-Golgi traffic (TRAPPI), intra-Golgi traffic (TRAPPII), endosome-Golgi traffic (TRAPPII and III) and autophagy (TRAPPIII); mutation leads to defects in endocytic recycling, block in sporulation/meiosis; mutations in human homolog TRAPPC2 cause spondyloepiphyseal dysplasia tarda, TRAPPC2 can complement yeast null mutant	YBR254C
vps24	VPS24	pos_with_GAP	ER and Golgi transport	One of four subunits of the ESCRT-III complex; forms an endosomal sorting complex required for transport III (ESCRT-III) subcomplex with Did4p; involved in the sorting of transmembrane proteins into the multivesicular body (MVB) pathway	YKL041W
vps51	VPS51	mixed	ER and Golgi transport	Component of the GARP (Golgi-associated retrograde protein) complex; GARP is required for the recycling of proteins from endosomes to the late Golgi, and for mitosis after DNA damage induced checkpoint arrest; links the (VFT/GARP) complex to the SNARE Tlg1p; members of the GARP complex are Vps51p-Vps52p-Vps53p-Vps54p	YKR020W
ypf1	YPF1	mixed	ER and Golgi transport	Intramembrane aspartyl protease of the perinuclear ER membrane; acts in a branch of ER-associated degradation (ERAD) that degrades functional proteins rather than misfolded proteins; regulates abundance of high-affinity plasma membrane transporters, such as Ctr1p and Zrt1p, during the starvation response; has a presenilin fold; member of the GxGD family of intramembrane proteases; closest human homolog is signal peptide peptidase (SPP)	YKL100C
ypt6	YPT6	mixed	ER and Golgi transport	Rab family GTPase; required for endosome-to-Golgi, intra-Golgi retrograde, and retrograde Golgi-to-ER transport; temporarily at the Golgi, dissociating into the cytosol on arrival of the late Golgi GTPase Ypt32p; Golgi-localized form is GTP bound, while cytosolic form is GDP-bound; required for delivery of Atg9p to the phagophore assembly site during autophagy under heat stress, with Ypt6p for starvation induced autophagy and for the CVT pathway; homolog of mammalian Rab6	YLR262C
